,index,flooded-other,guessDepth,AuthorEmail,structure_damage,float_number,geo_locality,beach_damage,photo_time,marinas_comments,structures_comments,AuthorName,weather_calc_24hr_precip,buildings_street,geo_neighborhood,TideDataObserved,storm_damage,whatFlooded,weather_windBearing,post_comment,buildings_damage,cause-other,URL,geo_administrative_area_level_1,weather_windSpeed,road_damage,road_other,MyCoastAI-description,report_icon,from_device,response_other,anonymous,road_comments,ID #,images,location_latitude,buildings_comments,guessCause,geo_route,report_created,reportType,hazmat_damage damage-cat,alternate-location-name,boat_number,weather_temperature,photo_date,location_longitude,TideDataPredicted,beach_comments,marinas_damage,geo_administrative_area_level_2,hazmat_comments,brightness
0,0,,2,,,,,,11:56,,,,0.182,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,190.0,,,,https://mycoast.org/reports/161872,NY,26.4,,,"cars parked on the side of a street,a car on the road,a street with cars and houses along it",highwater.svg,iOS 17.4.1,,,,161872,https://report-images.nyc3.digitaloceanspaces.com/2024/04/12115745/bb01cec7d3fb11bf29424a6b213a620c027e246a.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/12115742/33482175bfa082b50e8e263692ba3a468d7dda33.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/12115739/c7bc7f31ee82ac430a28c8a511dc4869003e0e56.jpg,40.5966601996,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-12T15:57:37Z,Flood Watch,,Far Rockaway - Beach 37 St,,54.1,2024-04-12,-73.7697575239,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,128.54
1,1,,0,,,,,,11:40,,,,0.19,,Jamaica,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=6,,,190.0,,,,https://mycoast.org/reports/161869,NY,26.4,,,a body of water with houses along it,highwater.svg,iOS 15.8.2,,,,161869,https://report-images.nyc3.digitaloceanspaces.com/2024/04/12114048/1fd8b0048851cc78735c29979d1e30bd0f36d69e.jpg,40.6582891988,,,160th Ave,2024-04-12T15:40:47Z,Flood Watch,,,,54.9,2024-04-12,-73.8327069674,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,156.08
2,2,,0,,,,,,11:37,,,,0.19,,Howard Beach,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=6,,,190.0,,,,https://mycoast.org/reports/161865,NY,26.4,,,"a flooded street with cars,a road with a sign on it",highwater.svg,iOS 15.8.2,,,,161865,https://report-images.nyc3.digitaloceanspaces.com/2024/04/12113855/017ee0bd2fd821e43e05d801cca2de396b772a7e.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/12113852/c36f1b767c9f4e9e727e203a5892f7a3b545ee12.jpg,40.6584105268,,,160th Ave,2024-04-12T15:38:50Z,Flood Watch,,,,54.9,2024-04-12,-73.8328434248,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,148.64
3,3,,,,No Impacts,0.0,Hampton Bays,Accessible,7:28,,,,0.105,,County Rd 32,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512451&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,179.0,,No Impacts,,https://mycoast.org/reports/161715,NY,16.5,No Impacts,,"a beach with waves crashing,a sandy beach with waves crashing",nodamage.svg,Android 13,,,,161715,https://report-images.nyc3.digitaloceanspaces.com/2024/04/12075713/8e8f79a0f0746810e8637146aea223115be936f1.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/12075711/42c2f614c618b113ac223b37d4265faa53ff643a.jpg,40.8774339,,,County Rd 32,2024-04-12T11:57:09Z,Storm,None,Dune Road Hampton Bays,0.0,59.9,2024-04-12,-72.522403,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512451&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Suffolk County,,156.97
4,4,,,,No Impacts,0.0,Hampton Bays,Accessible,7:26,,,,0.099,,Dune Rd,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8512451&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,179.0,,No Impacts,,https://mycoast.org/reports/161698,NY,16.5,No Impacts,,a sandy beach with waves crashing,nodamage.svg,Android 13,,,,161698,https://report-images.nyc3.digitaloceanspaces.com/2024/04/12072807/c10be97282b8db0b0ea8c2027f57478a794c1e1e.jpg,40.8268516,,,Dune Rd,2024-04-12T11:28:03Z,Storm,None,Dune Road Hampton Bays,0.0,59.9,2024-04-12,-72.5296656,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8512451&units=standard&bdate=20240411&edate=20240413&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Suffolk County,,154.86
5,5,,0,,,,,,23:37,,,,0.075,,Jamaica,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240410&edate=20240412&timezone=LST/LDT&datum=MLLW&interval=6,,,160.0,,,,https://mycoast.org/reports/161667,NY,36.9,,,"a street with a building and trees,a wet street at night",highwater.svg,iOS 15.8.2,,,,161667,https://report-images.nyc3.digitaloceanspaces.com/2024/04/11233904/5c29cf75ea1dc0509d7a6e231263e35faa68dcba.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/11233902/114eb475ee9f9cec9328f15f700a68f327ec9103.jpg,40.6582449004,,,160th Ave,2024-04-12T03:38:59Z,Flood Watch,,,,54.9,2024-04-11,-73.832695568,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240410&edate=20240412&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,45.37
6,6,,10,,,,,,23:13,,,,0.063,,Howard Beach,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240410&edate=20240412&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,150.0,,,,https://mycoast.org/reports/161664,NY,23.8,,,a group of cars parked on a street with a boat in the middle,highwater.svg,Android 12,,Yes,,161664,https://report-images.nyc3.digitaloceanspaces.com/2024/04/11231354/5108da3a7846c7b38670f9e62dd02e45a7a86a7a.jpg,40.6563315,,Overland flooding (Nearby waterbody),Van Der Linn St,2024-04-12T03:13:52Z,Flood Watch,,,,56.6,2024-04-11,-73.8318555,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240410&edate=20240412&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,70.32
7,7,,0,,,,,,10:50,,,,0.02,,Howard Beach,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240410&edate=20240412&timezone=LST/LDT&datum=MLLW&interval=6,,,130.0,,,,https://mycoast.org/reports/161632,NY,11.4,,,a road with a sign on it,highwater.svg,iOS 15.8.2,,,,161632,https://report-images.nyc3.digitaloceanspaces.com/2024/04/11105122/7b3f5516eca9b75eb597e00620610a035c6ad6ba.jpg,40.6584970281,,,160th Ave,2024-04-11T14:51:20Z,Flood Watch,,,,51.0,2024-04-11,-73.8326342125,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240410&edate=20240412&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,147.37
8,8,,0,,,,,,21:42,,,,0.0,,Jamaica,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=6,,,130.0,,,,https://mycoast.org/reports/161554,NY,13.9,,,"a person lying on the ground by a street at night,a house with a street light at night",highwater.svg,iOS 15.8.2,,,,161554,https://report-images.nyc3.digitaloceanspaces.com/2024/04/09214336/7c25ca91f3f94af83a4e97c0c265333d3a7715ea.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/09214334/eae04da2c9d366a68f97360dc1bb0adedc091ff4.jpg,40.6585167675,,,100th St,2024-04-10T01:43:32Z,Flood Watch,,,,52.1,2024-04-09,-73.8328236435,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,48.11
9,9,,3,,,,,,21:01,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,140.0,Second flood condition of the day.,,,https://mycoast.org/reports/161545,NY,10.3,,,"a building with a parking lot,a view of a street from a window of a building,a wet street at night",highwater.svg,iOS 17.4.1,,,,161545,https://report-images.nyc3.digitaloceanspaces.com/2024/04/09210324/f89fc89af85e2d4c4910a2345883a851f7b87aa1.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/09210322/7c72d4c825a353b7cdbfaab07974c5dbef248182.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/09210318/a004a10252e562e4f56ab3d06cfa690c2727e09d.jpg,40.5966778067,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-10T01:03:16Z,Flood Watch,,Far Rockaway- Beach 37 St,,49.9,2024-04-09,-73.7698302705,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,45.79
