objectid,globalid,which_of_the_following_are_floo,please_describe_the_weather_con,please_indicate_the_approximate,please_enter_the_current_time,please_enter_todays_date,what_caused_the_flooding_,neighborhood_andor_borough_,x,y
20,e4ec81f4-186d-41b0-8779-a0e938c814a3,property,light_rain,,12:00,2020-05-07T00:00:00,,,-73.8379818807091,40.6578929726175
21,934fab2f-3314-4abc-8583-ff1a3b968439,roads_streets,light_rain,,12:00,2020-05-07T00:00:00,,,-73.8378424058402,40.6577546088202
22,0a4db08d-ae85-441e-86b2-80842c85c4c9,"roads_streets,sidewalks","light_wind,light_rain",,00:30,2020-05-07T00:00:00,Storm_drain_Water_bubbling_up_f,Hamilton Beach,-73.8294438094657,40.65345597294
23,79733b16-eda5-4d37-831a-816fbf3ab2e3,"roads_streets,sidewalks,property","light_wind,light_rain",,00:39,2020-05-07T00:00:00,,,-73.8171040999988,40.6090230999993
24,efc6e186-66be-4e7c-866d-0f7eec330779,"roads_streets,sidewalks,property","light_wind,light_rain",,00:30,2020-05-07T00:00:00,,,-73.8295335159477,40.6534996859846
25,848e7477-07d2-4d24-8429-570e27153249,"roads_streets,sidewalks,property","light_rain,other",,00:41,2020-05-07T00:00:00,,,-73.8174146999987,40.6090133999993
26,4f32784b-4108-4592-8a75-a628a0ab9bf7,"roads_streets,sidewalks,property",light_rain,,00:49,2020-05-07T00:00:00,,,-73.8177030999988,40.6090805999993
27,412f76c7-eac3-40f1-8fdf-e188410ac388,"roads_streets,sidewalks,property",light_rain,,00:52,2020-05-07T00:00:00,,,-73.8179861999988,40.6090884999993
28,47c1e1cf-64ec-44ac-8119-a54469c30d18,"roads_streets,sidewalks,property",light_rain,,00:55,2020-05-07T00:00:00,,,-73.8183699999988,40.6093726999993
29,dc1ee86a-e4cb-4423-8d2f-9dabf6291bff,"roads_streets,sidewalks,property",light_rain,,00:59,2020-05-07T00:00:00,,,-73.8371503959156,40.649114442208
30,f19621aa-166e-4b95-867d-d123e37b3506,"roads_streets,sidewalks,property",light_rain,,01:00,2020-05-07T00:00:00,,,-73.8191480999988,40.6086976999993
31,a4786ea2-b97b-4c51-82fc-c21f99ef5464,"roads_streets,sidewalks,property",light_rain,,01:02,2020-05-07T00:00:00,,,-73.8182756303499,40.6084898528354
32,e9346653-90fb-4236-8efb-f58e04328254,"roads_streets,sidewalks,property",light_rain,,01:05,2020-05-07T00:00:00,,,-73.8170494058561,40.6083848458861
33,71150f39-5ff0-42ab-8197-8fde5423f994,"roads_streets,sidewalks,property",light_rain,,01:07,2020-05-07T00:00:00,,,-73.8170287999988,40.6083897999993
34,205b609e-500e-4cef-8dfd-679b0969afc9,"roads_streets,sidewalks,property",light_rain,,01:09,2020-05-07T00:00:00,,,-73.8167922999988,40.6088955999993
35,4eb73f1d-dff4-4aac-8fd6-637d36d6f58d,"roads_streets,sidewalks,property",light_rain,,01:22,2020-05-07T00:00:00,,,-73.8170819999987,40.6090249999993
36,d199adb9-9c11-46c6-8b6b-e7cd57195ac0,"roads_streets,sidewalks,property",light_wind,,03:25,2020-05-08T00:00:00,,,-73.8300300541326,40.6534249341247
38,baab71f2-ac7e-4d8d-8046-536dfe605be4,sidewalks,light_wind,,16:31,2020-08-08T00:00:00,,,-73.8414612427671,40.6501010167596
39,16ae590d-126d-4319-87c1-3986f90bbe59,roads_streets,"sunny,light_wind",3,15:00,2020-09-19T00:00:00,,,-73.7889032595735,40.5921469001554
40,35f2281e-fe19-410d-8715-52b9b06925b2,roads_streets,"sunny,light_wind",5,16:59,2020-09-23T00:00:00,,,-73.7699444444444,40.5965277777778
41,d709dc36-0fe8-4dac-8b77-066daabb6de1,"roads_streets,property","sunny,light_wind",4,17:06,2020-09-23T00:00:00,,,-73.7693611111111,40.6053611111111
42,a31fda7a-0f34-447d-8759-b436924b4e54,roads_streets,"sunny,light_wind",6,17:09,2020-09-23T00:00:00,,,-73.7692222222222,40.6062222222222
43,6983e071-b6d9-4f22-8658-3012c5144d4b,roads_streets,"sunny,light_wind",2,17:12,2020-09-23T00:00:00,,,-73.7695277777778,40.60625
44,0fb6ea03-0851-48c2-8a9a-777a598e06e5,roads_streets,"sunny,light_wind",5,17:14,2020-09-23T00:00:00,,,-73.7693888888889,40.6065
45,fd852866-af9b-466f-8ea6-5a19c05e9262,"roads_streets,property","sunny,light_wind",7,17:17,2020-09-23T00:00:00,,,-73.7684447445356,40.6094822999698
46,da8990fb-b1a4-4b3f-869e-90bb3ddabd75,"roads_streets,sidewalks","sunny,light_wind",5,17:38,2020-09-23T00:00:00,,,-73.7645049774945,40.595232304264
47,58965f9d-e909-413f-863f-b5ef49d95bcd,"roads_streets,property","sunny,light_wind",6,17:46,2020-09-23T00:00:00,,,-73.7685001953453,40.5949617772329
48,11d31e5b-5102-426a-8a79-c51567a411f9,"roads_streets,parking_lots","sunny,light_wind",3,17:70,2020-09-23T00:00:00,,,-73.7881388888889,40.5921388888889
49,5909ca62-c7ef-4d6f-8872-0a9190e9fd21,"roads_streets,sidewalks","light_rain,heavy_rain",5,21:30,2020-10-12T00:00:00,,,-73.8142100497093,40.5875595690976
50,313b92f3-dffc-41e6-8816-c50fb996c55a,"roads_streets,sidewalks,property",sunny,10,14:10,2020-10-17T00:00:00,,,-73.8310916690011,40.6586999576255
51,8716914f-a85d-4967-8743-2c1261bfe886,"roads_streets,sidewalks,parking_lots,property",sunny,8,14:10,2020-10-18T00:00:00,,,-73.8315727508593,40.6543636144493
53,8eb35d94-1fe4-4340-8a9e-9ada9ad1e947,roads_streets,light_rain,,13:00,2020-08-14T16:00:00,,City Island ,-73.7895283819132,40.8480257312285
54,3be8d1b9-175b-4c82-809f-a82597631ddc,roads_streets,sunny,,09:10,2020-08-31T16:00:00,,,-73.9665349405103,40.6473300469328
55,7d511030-c159-4dc6-8ea5-6e82e2ad63e9,"roads_streets,sidewalks,property",light_rain,12,08:30,2020-10-30T16:00:00,,,-73.8314519793873,40.6588000108762
56,e341f777-c84c-4801-8863-e84603229386,roads_streets,heavy_rain,4,13:20,2020-11-01T17:00:00,,,-73.8016417,40.863975
57,b81c73b3-4bf5-4b3b-83d9-3d4042ad42b5,property,heavy_rain,4,12:51,2020-11-01T17:00:00,,,-73.7879806,40.8519083
58,38725e30-3a32-4316-88b5-8eb5b0f289a4,roads_streets,heavy_rain,4,12:48,2020-11-01T17:00:00,,,-73.7869667,40.8504194
59,f076ae37-5b05-4867-8c1c-edced74f1f80,property,heavy_rain,3,12:59,2020-11-01T17:00:00,,,-73.7912556,40.856325
60,60abb8e2-7ece-4aaa-8b96-2b2ba8f320bb,roads_streets,light_rain,4,10:07,2020-10-30T17:00:00,,,-74.006325,40.5806556
61,25bcb7ab-63bd-473d-825c-c9a85605674f,roads_streets,light_wind,2,10:03,2020-10-30T17:00:00,,,-74.0020583,40.5810694
62,4e08ec70-525a-4a21-8068-7766290866f6,roads_streets,heavy_rain,2,08:50,2020-10-30T17:00:00,,,-74.0018722,40.5761083
63,f018e9af-c54d-4d2a-8ce3-92f391c10fdb,"roads_streets,sidewalks,property",light_rain,6,07:14,2020-11-13T17:00:00,,,-73.8523638854481,40.6616160719359
64,d844300c-314c-4716-8df2-e0e8702b1a31,"roads_streets,sidewalks,property",sunny,6,07:53,2020-11-14T17:00:00,,,-73.8523638854481,40.6616160719359
65,10a1c0a2-5232-4685-8831-e39597ce9a9b,"roads_streets,sidewalks","sunny,light_wind",8,07:26,2020-11-15T17:00:00,,,-73.8206521999988,40.6031777999993
66,b12f5bc2-85fb-4458-8418-bd811d5c7cd9,"roads_streets,sidewalks,property","sunny,light_wind",12,07:41,2020-11-15T17:00:00,,,-73.8206612999987,40.6031798999993
67,2b4cac9f-c750-45d5-8669-22146cc4be9b,"roads_streets,sidewalks",sunny,5,07:44,2020-11-15T17:00:00,,,-73.8314293718963,40.6578787443566
68,91d74994-8257-4a05-8682-deca54d22540,"roads_streets,sidewalks,property","sunny,light_wind",18,08:01,2020-11-15T17:00:00,,,-73.8206760999987,40.6031807999993
69,c0d84e67-e11e-4bff-8d4f-6cc74da409d2,"roads_streets,sidewalks,property",sunny,12,07:58,2020-11-15T17:00:00,,,-73.8523638854481,40.6616160719359
70,356bc337-c078-48ba-8a46-acbebc1d33ac,"roads_streets,sidewalks,property",sunny,5,08:13,2020-11-15T17:00:00,,,-73.829335590745,40.6565302026484
71,f27f1d57-489d-4809-80db-76ef1af088a2,"roads_streets,sidewalks","heavy_wind_gusts,light_rain",,20:40,2020-11-15T17:00:00,,,-73.8295490342197,40.6509853221146
72,28546169-b416-4dc8-8ca9-1dc132405df5,"roads_streets,sidewalks,other","heavy_wind_gusts,light_rain",8,20:27,2020-11-15T17:00:00,,,-73.8301350147604,40.6533299808639
73,8de76429-f74e-4e4a-8eae-21ec005a5c30,"roads_streets,sidewalks,property",heavy_wind_gusts,18,20:04,2020-11-15T17:00:00,,,-73.8523638854481,40.6616160719359
74,b3415beb-2235-4169-8977-de4b6d14883f,"roads_streets,sidewalks,property",heavy_wind_gusts,18,20:05,2020-11-15T17:00:00,,,-73.8523638854481,40.6616160719359
75,8e36adc6-94d2-45b1-8581-423ec52da2a8,"roads_streets,sidewalks",light_rain,12,22:49,2020-11-11T17:00:00,,,-73.8016063392762,40.8643780218487
76,aca51ac9-d30f-4ad1-8838-a82faf7e6628,"roads_streets,sidewalks",light_rain,6,10:51,2020-11-11T17:00:00,,,-73.8068063976901,40.862483147939
77,9d060d42-9267-4ba8-8d27-1284f8e36e4f,"roads_streets,sidewalks",light_rain,8,22:56,2020-11-11T17:00:00,,,-73.7889999029175,40.8534300238143
78,a7e3db36-dfea-4b63-8498-0219250ac11c,"roads_streets,sidewalks",light_rain,6,22:59,2020-11-11T17:00:00,,,-73.7879522593172,40.8518924984315
